Branch_ID,Branch_Name,City,State,IFSC_Code,Branch_Manager,Address
BR0082,"Ahmedabad Branch 82",Ahmedabad,Gujarat,BANK000082,"Vikas Mishra","214, MG Road"
BR0083,"Surat Branch 83",Surat,Gujarat,BANK000083,"Pooja Bansal","455, Main Road"
BR0084,"Mumbai Branch 84",Mumbai,Maharashtra,BANK000084,"Simran Tiwari","654, Station Road"
BR0085,"Surat Branch 85",Surat,Gujarat,BANK000085,"Karan Jain","683, Main Road"
BR0086,"Ahmedabad Branch 86",Ahmedabad,Gujarat,BANK000086,"Nikhil Joshi","227, Main Road"
BR0087,"Bengaluru Branch 87",Bengaluru,Karnataka,BANK000087,"Manish Malhotra","367, MG Road"
BR0088,"Surat Branch 88",Surat,Gujarat,BANK000088,"Neha Saini","757, Main Road"
BR0089,"Alwar Branch 89",Alwar,Rajasthan,BANK000089,"Kavita Jain","115, MG Road"
BR0090,"Lucknow Branch 90",Lucknow,"Uttar Pradesh",BANK000090,"Anjali Gupta","56, MG Road"
BR0091,"Bhopal Branch 91",Bhopal,"Madhya Pradesh",BANK000091,"Suresh Singh","565, Station Road"
BR0092,"Mumbai Branch 92",Mumbai,Maharashtra,BANK000092,"Rohit Sharma","934, MG Road"
BR0093,"Chennai Branch 93",Chennai,"Tamil Nadu",BANK000093,"Simran Bansal","289, MG Road"
BR0094,"Hyderabad Branch 94",Hyderabad,Telangana,BANK000094,"Arjun Patel","798, Main Road"
BR0095,"Chandigarh Branch 95",Chandigarh,Chandigarh,BANK000095,"Vivek Kumar","501, Station Road"
BR0096,"Indore Branch 96",Indore,"Madhya Pradesh",BANK000096,"Meena Bansal","699, Station Road"
BR0097,"Kolkata Branch 97",Kolkata,"West Bengal",BANK000097,"Komal Gupta","452, MG Road"
BR0098,"Jodhpur Branch 98",Jodhpur,Rajasthan,BANK000098,"Suresh Yadav","500, Market Road"
BR0099,"Surat Branch 99",Surat,Gujarat,BANK000099,"Anjali Saini","725, MG Road"
BR0100,"Kolkata Branch 100",Kolkata,"West Bengal",BANK000100,"Priya Verma","662, Main Road"
BR0101,"Chandigarh Branch 101",Chandigarh,Chandigarh,BANK000101,"Suresh Singh","454, MG Road"
BR0102,"Surat Branch 102",Surat,Gujarat,BANK000102,"Rohit Mishra","819, Station Road"
BR0103,"Mumbai Branch 103",Mumbai,Maharashtra,BANK000103,"Neha Saini","37, Main Road"
BR0104,"Chandigarh Branch 104",Chandigarh,Chandigarh,BANK000104,"Manish Mehta","611, MG Road"
BR0105,"Chandigarh Branch 105",Chandigarh,Chandigarh,BANK000105,"Manish Kumar","817, Main Road"
BR0106,"Chandigarh Branch 106",Chandigarh,Chandigarh,BANK000106,"Kavita Gupta","915, MG Road"
BR0107,"Chandigarh Branch 107",Chandigarh,Chandigarh,BANK000107,"Karan Choudhary","567, Station Road"
BR0108,"Pune Branch 108",Pune,Maharashtra,BANK000108,"Pooja Bansal","290, Station Road"
BR0109,"Delhi Branch 109",Delhi,Delhi,BANK000109,"Karan Jain","377, Main Road"
BR0110,"Indore Branch 110",Indore,"Madhya Pradesh",BANK000110,"Riya Sharma","520, MG Road"
BR0111,"Surat Branch 111",Surat,Gujarat,BANK000111,"Shreya Choudhary","796, Station Road"
BR0112,"Bhopal Branch 112",Bhopal,"Madhya Pradesh",BANK000112,"Vikas Joshi","437, MG Road"
BR0113,"Chandigarh Branch 113",Chandigarh,Chandigarh,BANK000113,"Pooja Tiwari","598, MG Road"
BR0114,"Lucknow Branch 114",Lucknow,"Uttar Pradesh",BANK000114,"Vivek Bansal","754, Market Road"
BR0115,"Indore Branch 115",Indore,"Madhya Pradesh",BANK000115,"Rahul Mehta","160, Station Road"
BR0116,"Kota Branch 116",Kota,Rajasthan,BANK000116,"Riya Bansal","746, Market Road"
BR0117,"Surat Branch 117",Surat,Gujarat,BANK000117,"Sneha Verma","95, MG Road"
BR0118,"Indore Branch 118",Indore,"Madhya Pradesh",BANK000118,"Sneha Bansal","173, Main Road"
BR0119,"Jodhpur Branch 119",Jodhpur,Rajasthan,BANK000119,"Anjali Choudhary","784, Station Road"
BR0120,"Delhi Branch 120",Delhi,Delhi,BANK000120,"Rohit Sharma","765, MG Road"
BR0121,"Indore Branch 121",Indore,"Madhya Pradesh",BANK000121,"Karan Choudhary","554, MG Road"
BR0122,"Chennai Branch 122",Chennai,"Tamil Nadu",BANK000122,"Suresh Mishra","785, Main Road"
BR0123,"Kota Branch 123",Kota,Rajasthan,BANK000123,"Neha Malhotra","519, Market Road"
BR0124,"Surat Branch 124",Surat,Gujarat,BANK000124,"Amit Tiwari","117, Market Road"
BR0125,"Chandigarh Branch 125",Chandigarh,Chandigarh,BANK000125,"Vikas Agarwal","153, MG Road"
BR0126,"Delhi Branch 126",Delhi,Delhi,BANK000126,"Nikhil Singh","877, Station Road"
BR0127,"Mumbai Branch 127",Mumbai,Maharashtra,BANK000127,"Rohit Saini","347, Station Road"
BR0128,"Chandigarh Branch 128",Chandigarh,Chandigarh,BANK000128,"Kavita Verma","491, Station Road"
BR0129,"Delhi Branch 129",Delhi,Delhi,BANK000129,"Priya Kumar","745, Station Road"
BR0130,"Indore Branch 130",Indore,"Madhya Pradesh",BANK000130,"Simran Mishra","813, Market Road"
BR0131,"Udaipur Branch 131",Udaipur,Rajasthan,BANK000131,"Meena Verma","474, Station Road"
BR0132,"Udaipur Branch 132",Udaipur,Rajasthan,BANK000132,"Ankit Choudhary","63, Station Road"
BR0133,"Pune Branch 133",Pune,Maharashtra,BANK000133,"Komal Kumar","483, Main Road"
BR0134,"Chandigarh Branch 134",Chandigarh,Chandigarh,BANK000134,"Simran Rathore","598, Main Road"
BR0135,"Ahmedabad Branch 135",Ahmedabad,Gujarat,BANK000135,"Nikhil Singh","332, Main Road"
BR0136,"Bengaluru Branch 136",Bengaluru,Karnataka,BANK000136,"Pooja Rathore","39, Main Road"
BR0137,"Indore Branch 137",Indore,"Madhya Pradesh",BANK000137,"Vikas Agarwal","98, MG Road"
BR0138,"Mumbai Branch 138",Mumbai,Maharashtra,BANK000138,"Arjun Yadav","722, Station Road"
BR0139,"Bengaluru Branch 139",Bengaluru,Karnataka,BANK000139,"Karan Sharma","458, Main Road"
BR0140,"Pune Branch 140",Pune,Maharashtra,BANK000140,"Nikhil Rathore","884, Main Road"
BR0141,"Udaipur Branch 141",Udaipur,Rajasthan,BANK000141,"Kavita Yadav","602, Market Road"
BR0142,"Bhopal Branch 142",Bhopal,"Madhya Pradesh",BANK000142,"Vikas Mehta","488, Market Road"
BR0143,"Bhopal Branch 143",Bhopal,"Madhya Pradesh",BANK000143,"Suresh Mishra","957, MG Road"
BR0144,"Bengaluru Branch 144",Bengaluru,Karnataka,BANK000144,"Ankit Jain","910, Station Road"
BR0145,"Kota Branch 145",Kota,Rajasthan,BANK000145,"Pawan Choudhary","657, Market Road"
BR0146,"Indore Branch 146",Indore,"Madhya Pradesh",BANK000146,"Anjali Bansal","993, Market Road"
BR0147,"Alwar Branch 147",Alwar,Rajasthan,BANK000147,"Suresh Malhotra","731, Main Road"
BR0148,"Hyderabad Branch 148",Hyderabad,Telangana,BANK000148,"Kavita Rathore","344, MG Road"
BR0149,"Alwar Branch 149",Alwar,Rajasthan,BANK000149,"Kavita Sharma","599, Main Road"
BR0150,"Surat Branch 150",Surat,Gujarat,BANK000150,"Rahul Jain","425, Station Road"
BR0151,"Alwar Branch 151",Alwar,Rajasthan,BANK000151,"Ankit Mishra","709, MG Road"
BR0152,"Kota Branch 152",Kota,Rajasthan,BANK000152,"Kavita Kumar","410, MG Road"
BR0153,"Kolkata Branch 153",Kolkata,"West Bengal",BANK000153,"Meena Choudhary","834, Market Road"
BR0154,"Mumbai Branch 154",Mumbai,Maharashtra,BANK000154,"Shreya Mishra","440, Market Road"
BR0155,"Delhi Branch 155",Delhi,Delhi,BANK000155,"Nikhil Mishra","163, Market Road"
BR0156,"Kolkata Branch 156",Kolkata,"West Bengal",BANK000156,"Shreya Kumar","54, Station Road"
BR0157,"Bhopal Branch 157",Bhopal,"Madhya Pradesh",BANK000157,"Anjali Singh","488, MG Road"
BR0158,"Udaipur Branch 158",Udaipur,Rajasthan,BANK000158,"Pooja Singh","262, MG Road"
BR0159,"Kolkata Branch 159",Kolkata,"West Bengal",BANK000159,"Karan Jain","527, Main Road"
BR0160,"Mumbai Branch 160",Mumbai,Maharashtra,BANK000160,"Deepak Sharma","504, Main Road"
BR0161,"Surat Branch 161",Surat,Gujarat,BANK000161,"Amit Mehta","577, MG Road"
BR0162,"Mumbai Branch 162",Mumbai,Maharashtra,BANK000162,"Pooja Saini","60, MG Road"
BR0163,"Surat Branch 163",Surat,Gujarat,BANK000163,"Vivek Saini","482, MG Road"
BR0164,"Jodhpur Branch 164",Jodhpur,Rajasthan,BANK000164,"Shreya Saini","504, Market Road"
BR0165,"Ahmedabad Branch 165",Ahmedabad,Gujarat,BANK000165,"Vikas Joshi","353, Station Road"
BR0166,"Mumbai Branch 166",Mumbai,Maharashtra,BANK000166,"Arjun Bansal","430, Market Road"
BR0167,"Jaipur Branch 167",Jaipur,Rajasthan,BANK000167,"Deepak Yadav","229, Market Road"
BR0168,"Chandigarh Branch 168",Chandigarh,Chandigarh,BANK000168,"Priya Agarwal","116, Market Road"
BR0169,"Hyderabad Branch 169",Hyderabad,Telangana,BANK000169,"Meena Agarwal","287, Market Road"
BR0170,"Lucknow Branch 170",Lucknow,"Uttar Pradesh",BANK000170,"Rohit Agarwal","231, MG Road"
BR0171,"Bengaluru Branch 171",Bengaluru,Karnataka,BANK000171,"Anjali Bansal","819, Market Road"
BR0172,"Jaipur Branch 172",Jaipur,Rajasthan,BANK000172,"Priya Jain","250, Main Road"
BR0173,"Indore Branch 173",Indore,"Madhya Pradesh",BANK000173,"Pooja Singh","779, Station Road"
BR0174,"Jodhpur Branch 174",Jodhpur,Rajasthan,BANK000174,"Rohit Rathore","797, MG Road"
BR0175,"Kolkata Branch 175",Kolkata,"West Bengal",BANK000175,"Pooja Mishra","719, MG Road"
BR0176,"Alwar Branch 176",Alwar,Rajasthan,BANK000176,"Priya Yadav","616, Station Road"
BR0177,"Lucknow Branch 177",Lucknow,"Uttar Pradesh",BANK000177,"Pooja Yadav","382, MG Road"
BR0178,"Udaipur Branch 178",Udaipur,Rajasthan,BANK000178,"Komal Bansal","454, MG Road"
BR0179,"Bengaluru Branch 179",Bengaluru,Karnataka,BANK000179,"Rohit Singh","144, Station Road"
BR0180,"Udaipur Branch 180",Udaipur,Rajasthan,BANK000180,"Amit Mehta","899, Station Road"
BR0181,"Lucknow Branch 181",Lucknow,"Uttar Pradesh",BANK000181,"Rohit Verma","973, Main Road"
BR0182,"Udaipur Branch 182",Udaipur,Rajasthan,BANK000182,"Arjun Saini","800, Main Road"
BR0183,"Mumbai Branch 183",Mumbai,Maharashtra,BANK000183,"Vivek Gupta","77, Station Road"
BR0184,"Delhi Branch 184",Delhi,Delhi,BANK000184,"Suresh Gupta","570, MG Road"
BR0185,"Ahmedabad Branch 185",Ahmedabad,Gujarat,BANK000185,"Priya Gupta","700, Station Road"
BR0186,"Pune Branch 186",Pune,Maharashtra,BANK000186,"Neha Bansal","854, Market Road"
BR0187,"Udaipur Branch 187",Udaipur,Rajasthan,BANK000187,"Meena Mishra","376, MG Road"
BR0188,"Indore Branch 188",Indore,"Madhya Pradesh",BANK000188,"Neha Choudhary","347, MG Road"
BR0189,"Chandigarh Branch 189",Chandigarh,Chandigarh,BANK000189,"Rahul Mehta","693, Main Road"
BR0190,"Bhopal Branch 190",Bhopal,"Madhya Pradesh",BANK000190,"Anjali Mishra","639, Main Road"
BR0191,"Jodhpur Branch 191",Jodhpur,Rajasthan,BANK000191,"Neha Choudhary","398, Main Road"
BR0192,"Ahmedabad Branch 192",Ahmedabad,Gujarat,BANK000192,"Meena Verma","12, Station Road"
BR0193,"Udaipur Branch 193",Udaipur,Rajasthan,BANK000193,"Riya Saini","948, Station Road"
BR0194,"Surat Branch 194",Surat,Gujarat,BANK000194,"Suresh Choudhary","314, Main Road"
BR0195,"Hyderabad Branch 195",Hyderabad,Telangana,BANK000195,"Neha Kumar","683, MG Road"
BR0196,"Chandigarh Branch 196",Chandigarh,Chandigarh,BANK000196,"Rohit Gupta","68, MG Road"
BR0197,"Lucknow Branch 197",Lucknow,"Uttar Pradesh",BANK000197,"Suresh Sharma","480, Station Road"
BR0198,"Bhopal Branch 198",Bhopal,"Madhya Pradesh",BANK000198,"Komal Sharma","475, Market Road"
BR0199,"Udaipur Branch 199",Udaipur,Rajasthan,BANK000199,"Kavita Jain","674, MG Road"
BR0200,"Kolkata Branch 200",Kolkata,"West Bengal",BANK000200,"Manish Mehta","993, Main Road"
BR0201,"Pune Branch 201",Pune,Maharashtra,BANK000201,"Karan Singh","309, Station Road"
BR0202,"Ahmedabad Branch 202",Ahmedabad,Gujarat,BANK000202,"Simran Tiwari","340, MG Road"
BR0203,"Ahmedabad Branch 203",Ahmedabad,Gujarat,BANK000203,"Pawan Tiwari","147, Market Road"
BR0204,"Delhi Branch 204",Delhi,Delhi,BANK000204,"Riya Saini","382, Market Road"
BR0205,"Pune Branch 205",Pune,Maharashtra,BANK000205,"Deepak Sharma","114, Market Road"
BR0206,"Jodhpur Branch 206",Jodhpur,Rajasthan,BANK000206,"Riya Yadav","104, Station Road"
BR0207,"Bengaluru Branch 207",Bengaluru,Karnataka,BANK000207,"Manish Kumar","802, Main Road"
BR0208,"Hyderabad Branch 208",Hyderabad,Telangana,BANK000208,"Deepak Malhotra","285, Main Road"
BR0209,"Indore Branch 209",Indore,"Madhya Pradesh",BANK000209,"Amit Agarwal","455, Station Road"
BR0210,"Delhi Branch 210",Delhi,Delhi,BANK000210,"Shreya Agarwal","405, Market Road"
BR0211,"Ahmedabad Branch 211",Ahmedabad,Gujarat,BANK000211,"Ankit Verma","58, Market Road"
BR0212,"Kota Branch 212",Kota,Rajasthan,BANK000212,"Anjali Saini","164, Market Road"
BR0213,"Kota Branch 213",Kota,Rajasthan,BANK000213,"Riya Patel","325, Station Road"
BR0214,"Chandigarh Branch 214",Chandigarh,Chandigarh,BANK000214,"Amit Mehta","251, Station Road"
BR0215,"Chennai Branch 215",Chennai,"Tamil Nadu",BANK000215,"Anjali Saini","287, Main Road"
BR0216,"Bengaluru Branch 216",Bengaluru,Karnataka,BANK000216,"Vivek Malhotra","676, Main Road"
BR0217,"Bengaluru Branch 217",Bengaluru,Karnataka,BANK000217,"Suresh Joshi","949, Main Road"
BR0218,"Alwar Branch 218",Alwar,Rajasthan,BANK000218,"Karan Verma","676, Main Road"
BR0219,"Ahmedabad Branch 219",Ahmedabad,Gujarat,BANK000219,"Pawan Joshi","263, MG Road"
BR0220,"Jodhpur Branch 220",Jodhpur,Rajasthan,BANK000220,"Karan Yadav","95, Market Road"
BR0221,"Mumbai Branch 221",Mumbai,Maharashtra,BANK000221,"Rahul Saini","335, Market Road"
BR0222,"Chandigarh Branch 222",Chandigarh,Chandigarh,BANK000222,"Vikas Gupta","448, Market Road"
BR0223,"Lucknow Branch 223",Lucknow,"Uttar Pradesh",BANK000223,"Kavita Kumar","326, Market Road"
BR0224,"Delhi Branch 224",Delhi,Delhi,BANK000224,"Vivek Sharma","489, Market Road"
BR0225,"Pune Branch 225",Pune,Maharashtra,BANK000225,"Suresh Choudhary","790, MG Road"
BR0226,"Pune Branch 226",Pune,Maharashtra,BANK000226,"Rahul Verma","283, Station Road"
BR0227,"Lucknow Branch 227",Lucknow,"Uttar Pradesh",BANK000227,"Pawan Verma","337, MG Road"
BR0228,"Jodhpur Branch 228",Jodhpur,Rajasthan,BANK000228,"Vikas Tiwari","846, Station Road"
BR0229,"Mumbai Branch 229",Mumbai,Maharashtra,BANK000229,"Nikhil Gupta","191, Market Road"
BR0230,"Delhi Branch 230",Delhi,Delhi,BANK000230,"Arjun Gupta","161, MG Road"
BR0231,"Alwar Branch 231",Alwar,Rajasthan,BANK000231,"Neha Choudhary","495, MG Road"
BR0232,"Pune Branch 232",Pune,Maharashtra,BANK000232,"Manish Choudhary","301, Station Road"
BR0233,"Jodhpur Branch 233",Jodhpur,Rajasthan,BANK000233,"Ankit Rathore","457, Main Road"
BR0234,"Ahmedabad Branch 234",Ahmedabad,Gujarat,BANK000234,"Rahul Saini","682, MG Road"
BR0235,"Pune Branch 235",Pune,Maharashtra,BANK000235,"Amit Agarwal","95, Station Road"
BR0236,"Chandigarh Branch 236",Chandigarh,Chandigarh,BANK000236,"Shreya Yadav","715, Market Road"
BR0237,"Kolkata Branch 237",Kolkata,"West Bengal",BANK000237,"Anjali Sharma","183, MG Road"
BR0238,"Ahmedabad Branch 238",Ahmedabad,Gujarat,BANK000238,"Suresh Agarwal","55, Market Road"
BR0239,"Udaipur Branch 239",Udaipur,Rajasthan,BANK000239,"Pooja Choudhary","210, Market Road"
BR0240,"Ahmedabad Branch 240",Ahmedabad,Gujarat,BANK000240,"Anjali Bansal","312, Main Road"
BR0241,"Surat Branch 241",Surat,Gujarat,BANK000241,"Nikhil Yadav","372, Station Road"
BR0242,"Chandigarh Branch 242",Chandigarh,Chandigarh,BANK000242,"Vikas Saini","135, Main Road"
BR0243,"Bengaluru Branch 243",Bengaluru,Karnataka,BANK000243,"Komal Patel","440, Market Road"
BR0244,"Surat Branch 244",Surat,Gujarat,BANK000244,"Nikhil Kumar","664, Market Road"
BR0245,"Surat Branch 245",Surat,Gujarat,BANK000245,"Pooja Joshi","791, Market Road"
BR0246,"Lucknow Branch 246",Lucknow,"Uttar Pradesh",BANK000246,"Kavita Yadav","772, Market Road"
BR0247,"Bhopal Branch 247",Bhopal,"Madhya Pradesh",BANK000247,"Shreya Kumar","262, Main Road"
BR0248,"Surat Branch 248",Surat,Gujarat,BANK000248,"Pawan Saini","168, Station Road"
BR0249,"Chennai Branch 249",Chennai,"Tamil Nadu",BANK000249,"Manish Tiwari","70, Main Road"
BR0250,"Indore Branch 250",Indore,"Madhya Pradesh",BANK000250,"Shreya Jain","328, Station Road"
BR0251,"Jaipur Branch 251",Jaipur,Rajasthan,BANK000251,"Shreya Sharma","555, Station Road"
BR0252,"Chandigarh Branch 252",Chandigarh,Chandigarh,BANK000252,"Deepak Agarwal","483, Market Road"
BR0253,"Alwar Branch 253",Alwar,Rajasthan,BANK000253,"Priya Rathore","744, Market Road"
BR0254,"Kota Branch 254",Kota,Rajasthan,BANK000254,"Neha Singh","700, Station Road"
BR0255,"Alwar Branch 255",Alwar,Rajasthan,BANK000255,"Pawan Patel","986, MG Road"
BR0256,"Chandigarh Branch 256",Chandigarh,Chandigarh,BANK000256,"Sneha Joshi","814, Market Road"
BR0257,"Alwar Branch 257",Alwar,Rajasthan,BANK000257,"Priya Rathore","133, Market Road"
BR0258,"Alwar Branch 258",Alwar,Rajasthan,BANK000258,"Deepak Jain","580, Station Road"
BR0259,"Kolkata Branch 259",Kolkata,"West Bengal",BANK000259,"Rahul Patel","834, Market Road"
BR0260,"Indore Branch 260",Indore,"Madhya Pradesh",BANK000260,"Ankit Kumar","455, MG Road"
BR0261,"Bengaluru Branch 261",Bengaluru,Karnataka,BANK000261,"Rahul Jain","501, Station Road"
